product_name;current_price;normal_price;product_url;store;extraction_date
Celular SAMSUNG Galaxy A36 256GB 5G Negro;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-negro/p/8806097113843?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM4NDMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular HONOR X8c 512GB Purpura;999900.0;2299000.0;https://www.alkosto.com/celular-honor-x8c-512gb-purpura/p/6936520862344?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NjIzNDQiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular HONOR X8c 512GB Verde;999900.0;2299000.0;https://www.alkosto.com/celular-honor-x8c-512gb-verde/p/6936520862337?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NjIzMzciLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Gris;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-gris/p/8806097113874?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM4NzQiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Morado + Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-morado-audifonos/p/6932554406578?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY1NzgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 256GB Negro + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-negro-audifonos/p/6932554408312?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDgzMTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Morado;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-morado/p/8806097113928?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM5MjgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 13 128GB Blanco Estrella;2579010.0;4165010.0;https://www.alkosto.com/iphone13-128gb-blanco-estrella/p/194252707432?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzQzMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular SAMSUNG Galaxy A36 256GB 5G Verde;1094900.0;1999900.0;https://www.alkosto.com/celular-samsung-galaxy-a36-256gb-5g-verde/p/8806097113966?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTM5NjYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Negro + Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-negro-audifonos/p/6932554406912?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY5MTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A26 256GB 5G Negro;869900.0;1349900.0;https://www.alkosto.com/celular-samsung-galaxy-a26-256gb-5g-negro/p/8806097113355?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTMzNTUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 13 128GB Azul Medianoche;2579010.0;4165010.0;https://www.alkosto.com/iphone13-128gb-azul-medianoche/p/194252707166?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzE2NiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
iPhone 16e 128GB Negro;2999010.0;3489010.0;https://www.alkosto.com/iphone-16e-128gb-negro/p/195950051902?algEvent=eyJvYmplY3RJZCI6IjE5NTk1MDA1MTkwMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular OPPO A5 256GB 5G Verde;899900.0;1999900.0;https://www.alkosto.com/celular-oppo-a5-256gb-5g-verde/p/6932169371292?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNzEyOTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Verde;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-verde/p/840023261879?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg3OSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular SAMSUNG Galaxy A26 256GB 5G Verde Claro;869900.0;1349900.0;https://www.alkosto.com/celular-samsung-galaxy-a26-256gb-5g-verde-claro/p/8806097113362?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTMzNjIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
iPhone 16e 128GB Blanco;2999010.0;3489010.0;https://www.alkosto.com/iphone-16e-128gb-blanco/p/195950051926?algEvent=eyJvYmplY3RJZCI6IjE5NTk1MDA1MTkyNiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular OPPO A5 256GB 5G Blanco;899900.0;1999900.0;https://www.alkosto.com/celular-oppo-a5-256gb-5g-blanco/p/6932169371308?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNzEzMDgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI Note 14 256GB Azul + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-azul-audifonos/p/6932554408176?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDgxNzYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular REDMI 13 256GB Negro;599900.0;1499900.0;https://www.alkosto.com/celular-redmi-13-256gb-negro/p/6941812776872?algEvent=eyJvYmplY3RJZCI6IjY5NDE4MTI3NzY4NzIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Azul;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-azul/p/840023261893?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg5MyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular REDMI Note 14 256GB Verde + Audifonos;799900.0;1499900.0;https://www.alkosto.com/celular-redmi-note-14-256gb-verde-audifonos/p/6932554408565?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDg1NjUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular OPPO A5 Pro 256GB 5G café;1499900.0;2399900.0;https://www.alkosto.com/celular-oppo-a5-pro-256gb-5g-cafe/p/6932169363938?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNjM5MzgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular MOTOROLA Edge 50 Fusion 256GB Rosado;899900.0;2299900.0;https://www.alkosto.com/celular-motorola-edge-50-fusion-256gb-rosado/p/840023261886?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI2MTg4NiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiYzNkODczNjQzNzA3YTc0NmJmM2JkNmM4NjE3NDg0ZTAifQ==;alkosto;2025-08-14
Celular REDMI Note 14 Pro 256GB Azul Audifonos;1079900.0;2199900.0;https://www.alkosto.com/celular-redmi-note-14-pro-256gb-azul-audifonos/p/6932554406813?algEvent=eyJvYmplY3RJZCI6IjY5MzI1NTQ0MDY4MTMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6ImMzZDg3MzY0MzcwN2E3NDZiZjNiZDZjODYxNzQ4NGUwIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A16 256GB LTE Negro;679900.0;979900.0;https://www.alkosto.com/celular-samsung-galaxy-a16-256gb-lte-negro/p/8806095819068?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU4MTkwNjgiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A56 256GB 5G Negro;1749900.0;2399900.0;https://www.alkosto.com/celular-samsung-galaxy-a56-256gb-5g-negro/p/8806097117117?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTcxMTciLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A56 256GB 5G Rosado;1749900.0;2399900.0;https://www.alkosto.com/celular-samsung-galaxy-a56-256gb-5g-rosado/p/8806097117223?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTcxMTcyMjMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
